,run,iter,return,value
0,dqn,40,494.8888888888889,1.4155969619750977
1,dqn,80,586.7692307692307,2.494339942932129
2,dqn,120,842.9702970297029,2.6470720767974854
3,dqn,160,1504.878048780488,3.221489906311035
4,dqn,200,2248.955223880597,3.3480570316314697
5,dqn,240,2276.231884057971,3.1735050678253174
6,dqn,280,2438.805970149254,3.2976200580596924
7,dqn,320,1609.6470588235295,3.1195719242095947
8,dqn,360,2269.3150684931506,3.3891959190368652
9,dqn,400,1942.469135802469,3.037071943283081
10,dqn,440,2370.2631578947367,2.940232038497925
11,dqn,480,2977.313432835821,3.603800058364868
12,dqn,520,2807.123287671233,3.456264019012451
13,dqn,560,4411.428571428572,3.365593910217285
14,dqn,600,3817.5862068965516,3.5389459133148193
15,dqn,640,3700.967741935484,3.406348943710327
16,dqn,680,4461.111111111111,3.713970899581909
17,dqn,720,3114.0298507462685,3.195935010910034
18,dqn,760,3991.0344827586205,3.7772068977355957
19,dqn,800,2595.5555555555557,3.2767789363861084
20,dqn,840,1651.5116279069769,3.146066904067993
21,dqn,880,2923.1884057971015,3.4086520671844482
22,dqn,920,1246.9565217391305,2.792249917984009
23,dqn,960,1753.452380952381,2.8438520431518555
24,dqn,1000,1673.4883720930231,3.5019519329071045
25,dqn,1040,2104.358974358974,3.429708957672119
26,dqn,1080,1320.8080808080808,3.547261953353882
27,dqn,1120,1125.625,3.3993101119995117
28,dqn,1160,887.2727272727273,2.9553029537200928
29,dqn,1200,584.4230769230769,2.718925952911377
30,dqn,1240,467.82608695652175,1.1308749914169312
31,dqn,1280,561.7699115044247,2.44730806350708
32,dqn,1320,506.5648854961832,1.8027620315551758
33,dqn,1360,358.5987261146497,0.943444013595581
34,dqn,1400,221.5151515151515,1.1742310523986816
35,dqn,1440,301.0989010989011,1.675739049911499
36,dqn,1480,244.56521739130434,0.8498700261116028
37,ddqn_SArch,40,456.75126903553297,1.6366980075836182
38,ddqn_SArch,80,868.5714285714286,1.542333960533142
39,ddqn_SArch,120,2837.3333333333335,2.926759958267212
40,ddqn_SArch,160,3109.4736842105262,2.776460886001587
41,ddqn_SArch,200,3084.2105263157896,2.7728118896484375
42,ddqn_SArch,240,3085.818181818182,3.0923120975494385
43,ddqn_SArch,280,2924.3859649122805,3.0861380100250244
44,ddqn_SArch,320,7813.90243902439,2.8822100162506104
45,ddqn_SArch,360,7337.142857142857,2.8601810932159424
46,ddqn_SArch,400,11634.117647058823,2.7993600368499756
47,ddqn_SArch,440,6135.31914893617,3.197740077972412
48,ddqn_SArch,480,5568.125,2.814608097076416
49,ddqn_SArch,520,6838.717948717948,1.9932010173797607
50,ddqn_SArch,560,5889.615384615385,2.239985942840576
51,ddqn_SArch,600,8395.333333333334,2.0802359580993652
52,ddqn_SArch,640,6679.2307692307695,1.4102859497070312
53,ddqn_SArch,680,8475.208333333334,1.770632028579712
54,ddqn_SArch,720,7391.764705882353,1.5931260585784912
55,ddqn_SArch,760,8011.521739130435,1.2754199504852295
56,ddqn_SArch,800,5970.357142857143,1.101112961769104
57,ddqn_SArch,840,8982.978723404256,1.0807039737701416
58,ddqn_SArch,880,5851.851851851852,2.2538321018218994
59,ddqn_SArch,920,7646.122448979592,1.8784639835357666
60,ddqn_SArch,960,5528.9655172413795,1.4804940223693848
61,ddqn_SArch,1000,5901.379310344828,2.0621790885925293
62,ddqn_SArch,1040,7072.156862745098,2.519026041030884
63,ddqn_SArch,1080,4672.058823529412,1.905527949333191
64,ddqn_SArch,1120,6193.035714285715,2.128861904144287
65,ddqn_SArch,1160,6337.636363636364,1.7085540294647217
66,ddqn_SArch,1200,6889.6,2.627650022506714
67,ddqn_SArch,1240,5066.09375,1.4934359788894653
68,ddqn_SArch,1280,7755.208333333333,1.9942389726638794
69,ddqn_SArch,1320,3362.3809523809523,1.7507679462432861
70,ddqn_SArch,1360,5320.3448275862065,1.99721097946167
71,ddqn_SArch,1400,4814.923076923077,1.5934419631958008
72,ddqn_SArch,1440,6893.673469387755,2.019115924835205
73,ddqn_SArch,1480,4726.197183098591,2.2988409996032715
